Region,Crop,Date,Rainfall_mm,Temperature_C,Soil_moisture_pct,NDVI,LST_C,Yield_kg_ha,Area_cultivated_ha,Market_price_Birr_kg,Supply_tons,Demand_index,Season
Tigray,Sorghum,2023-09-16,150.7,23.4,37.5,0.519,18.1,2987.0,78.33,75.62,3613.7,0.58,Meher
Benishangul-Gumuz,Teff,2019-08-17,54.9,22.7,49.6,0.827,19.9,1284.2,41.24,84.17,4889.1,0.67,Meher
Tigray,Maize,2021-03-12,81.2,22.8,31.4,0.583,32.2,2313.0,22.61,87.03,4545.1,1.62,Belg
SNNPR,Barley,2022-12-23,185.2,18.1,11.6,0.22,31.3,3562.3,5.54,20.46,4712.7,1.21,Bega
SNNPR,Sesame,2015-04-14,125.2,18.7,35.0,0.574,24.9,1860.8,11.94,54.22,2336.8,0.69,Belg
Benishangul-Gumuz,Sesame,2020-03-18,72.4,32.8,27.8,0.407,29.7,2751.3,65.61,90.48,2692.3,1.17,Belg
Benishangul-Gumuz,Wheat,2021-07-29,182.5,31.0,29.8,0.598,45.2,2001.7,90.96,51.07,2688.4,0.87,Meher
Oromia,Teff,2015-10-18,27.6,27.8,13.8,0.254,28.9,2583.1,85.16,42.43,2451.3,1.36,Meher
Oromia,Coffee,2020-08-02,38.8,29.4,22.2,0.843,39.8,1796.5,51.5,63.99,1476.6,1.21,Meher
Gambella,Barley,2017-12-05,74.5,23.8,23.3,0.788,35.1,3685.3,31.36,45.27,4073.8,1.43,Bega
Benishangul-Gumuz,Barley,2018-05-09,202.8,22.3,22.7,0.372,31.7,2676.8,78.73,55.8,1430.3,1.01,Belg
Tigray,Barley,2023-01-06,121.3,31.0,38.5,0.822,21.8,2567.0,12.84,82.79,3169.6,1.33,Bega
SNNPR,Maize,2017-10-28,40.5,19.5,43.3,0.308,21.2,2981.6,36.05,96.77,1478.5,1.08,Meher
SNNPR,Teff,2018-04-22,184.6,20.6,35.3,0.684,25.6,2496.1,40.82,22.81,3605.1,1.59,Belg
Amhara,Barley,2021-08-14,89.8,25.3,16.9,0.853,25.7,722.0,10.55,66.05,1765.0,0.82,Meher
Gambella,Maize,2015-06-07,151.7,26.7,31.3,0.35,28.7,2427.7,9.82,47.13,4616.2,0.94,Meher
Tigray,Coffee,2018-04-03,23.8,17.7,17.1,0.836,27.6,3861.4,58.37,91.15,1610.6,1.05,Belg
Gambella,Barley,2016-06-04,32.7,32.7,20.5,0.846,25.6,1775.6,37.35,41.23,735.1,1.52,Meher
Oromia,Teff,2015-03-28,176.8,23.4,14.8,0.702,34.8,1038.7,84.0,52.51,1008.3,0.53,Belg
Gambella,Sorghum,2024-07-09,186.3,29.5,15.7,0.645,31.8,2549.1,63.25,43.11,1276.0,1.65,Meher
Somali,Wheat,2020-09-13,12.0,25.6,30.7,0.409,25.6,3460.1,88.45,24.65,2549.8,1.02,Meher
Tigray,Coffee,2017-03-12,50.0,22.0,24.8,0.368,34.2,3083.8,22.04,41.57,817.5,0.9,Belg
Somali,Sorghum,2022-01-17,103.3,21.7,29.8,0.659,32.9,2445.2,29.59,83.14,3122.5,1.44,Bega
Benishangul-Gumuz,Teff,2024-05-15,110.8,27.9,32.6,0.241,32.1,2451.6,68.01,31.69,4580.6,1.76,Belg
Amhara,Wheat,2024-04-18,168.0,29.0,21.2,0.241,25.9,3430.5,85.96,91.18,3963.6,0.6,Belg
Tigray,Sesame,2023-05-31,60.0,24.5,25.3,0.635,21.5,1773.5,98.98,41.4,761.4,0.58,Belg
Amhara,Wheat,2016-04-18,292.4,20.9,38.7,0.209,23.4,3798.2,27.39,81.96,2655.1,0.91,Belg
SNNPR,Teff,2021-04-21,106.9,16.9,21.5,0.277,35.3,1577.5,37.68,90.63,4290.9,1.06,Belg
SNNPR,Barley,2021-09-01,8.6,21.9,36.4,0.824,27.4,2467.4,93.62,20.16,292.7,1.27,Meher
Gambella,Maize,2021-10-21,85.5,17.2,31.5,0.39,19.9,2438.6,95.13,90.72,1002.3,0.64,Meher
Oromia,Teff,2022-12-16,183.9,27.0,19.9,0.835,41.0,2858.3,75.57,42.88,1429.8,0.8,Bega
